NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;GROSSINCOME_TOTAL;GROSSINCOME_MEN;GROSSINCOME_WOMEN;AVERAGE_GROSSINCOME_TOTAL;AVERAGE_GROSSINCOME_MEN;AVERAGE_GROSSINCOME_WOMEN;AVERAGE_NETINCOME_TOTAL;AVERAGE_NETINCOME_MEN;AVERAGE_NETINCOME_WOMEN;AVERAGE_NETINCOME_FULLTIME_WHOLEYEAR_TOTAL;AVERAGE_NETINCOME_FULLTIME_WHOLEYEAR_MEN;AVERAGE_NETINCOME_FULLTIME_WHOLEYEAR_WOMEN
AT13;90100;90100;2002;20021231;292.103.000;194.301.000;97.802.000;;;;25.463;31.961;18.536;34.506;42.806;24.963
AT13;90200;90200;2002;20021231;919.962.000;559.682.000;360.280.000;;;;16.439;18.301;14.282;22.015;24.312;19.067
AT13;90300;90300;2002;20021231;1.011.882.000;608.994.000;402.888.000;;;;18.701;21.444;15.804;24.617;27.968;20.739
AT13;90400;90400;2002;20021231;402.479.000;243.807.000;158.672.000;;;;20.325;23.641;16.876;27.348;31.586;22.539
AT13;90500;90500;2002;20021231;554.361.000;327.128.000;227.233.000;;;;16.258;17.937;14.395;22.059;24.198;19.454
AT13;90600;90600;2002;20021231;388.253.000;229.738.000;158.515.000;;;;18.724;21.260;16.069;25.294;28.491;21.628
AT13;90700;90700;2002;20021231;396.154.000;230.897.000;165.257.000;;;;18.429;21.129;15.725;25.244;28.618;21.545
AT13;90800;90800;2002;20021231;326.678.000;191.925.000;134.753.000;;;;20.108;23.342;16.931;27.602;31.529;23.310
AT13;90900;90900;2002;20021231;528.261.000;313.173.000;215.088.000;;;;19.106;22.183;16.031;26.045;30.036;21.752
AT13;91000;91000;2002;20021231;1.667.870.000;1.012.406.000;655.464.000;;;;16.707;18.657;14.478;21.465;23.616;18.680
AT13;91100;91100;2002;20021231;918.815.000;563.545.000;355.270.000;;;;16.742;18.883;14.296;21.234;23.283;18.441
